Dnr,Formas1,Formas2,Kateg1,Kateg2,Kateg3
2017-01962,13,11,10,11,13
2017-01979,13,,4,10,13
2017-01980,10,13,10,11,13
2017-01993,3,,3,,
2017-01996,3,,9,,
2017-02001,3,,3,,
2017-02003,3,,3,,
2017-02004,3,,3,,
2017-02015,2,,3,9,12
2017-02017,2,,3,12,14
2017-02018,2,,12,2,11
2017-02019,9,2,8,9,12
2017-02021,2,,3,12,14
2017-02022,12,2,12,13,15
2017-02028,2,,6,12,15
2017-02038,8,,8,12,
2017-02087,2,,9,12,
2017-02089,2,,2,12,14
2017-02091,2,,3,12,14
2017-02092,2,,2,12,
2017-02093,12,,12,,
2017-02096,2,,12,3,9
2017-02099,2,,12,,
2017-02101,2,,3,7,12
2017-02127,17,,11,12,17
2017-02131,12,,11,12,13
2017-02134,9,,9,11,16
2017-02135,11,,7,11,12
2017-02136,12,,9,11,13
2017-02137,0,,11,7,10
2017-02138,12,,9,11,13
2017-02139,9,,7,11,12
2017-02141,9,,9,11,17
2017-02142,7,,9,11,12
2017-02145,7,,9,11,7
2017-02170,2,13,13,15,
2017-02200,9,,8,9,11
2017-02201,9,,8,11,
2017-02242,12,16,15,,
2017-02250,9,,8,9,11
2017-02258,0,,12,13,16
2017-02261,6,,6,12,13
2017-02264,4,,3,11,15
2017-02267,15,,15,,
2017-02274,13,,11,13,
2017-02279,4,,4,15,16
2017-02311,2,,2,12,15
